"GENE_ID","ADJ_PVAL"
"ENSG00000239701",1.93235337484773e-244
"ENSG00000281550",6.16571089057956e-233
"ENSG00000157870",1.11375214537209e-231
"ENSG00000086300",3.76488960646211e-207
"ENSG00000125505",6.51708955578402e-190
"ENSG00000270926",1.0819634814167e-176
